Id,SalePrice,LotArea,TotalBsmtSF,1stFlrSF,2ndFlrSF,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,LotConfig,BldgType,YearBuilt,YearRemodAdd,Foundation,CentralAir,KitchenQual,PavedDrive,YrSold
19,159000,13695,1114,1114,0,1,1,3,6,0,2,0,102,0,0,0,0,Inside,1Fam,2004,2004,PConc,Y,Gd,Y,2008
20,139000,7560,1029,1339,0,1,0,3,6,0,1,0,0,0,0,0,0,Inside,1Fam,1958,1965,CBlock,Y,TA,Y,2009
21,325300,14215,1158,1158,1218,3,1,4,9,1,3,240,154,0,0,0,0,Corner,1Fam,2005,2006,PConc,Y,Gd,Y,2006
22,139400,7449,637,1108,0,1,0,3,6,1,1,0,0,205,0,0,0,Inside,1Fam,1930,1950,PConc,Y,Gd,N,2007
23,230000,9742,1777,1795,0,2,0,3,7,1,2,171,159,0,0,0,0,Inside,1Fam,2002,2002,PConc,Y,Gd,Y,2008
24,129900,4224,1040,1060,0,1,0,3,6,1,2,100,110,0,0,0,0,Inside,TwnhsE,1976,1976,PConc,Y,TA,Y,2007
25,154000,8246,1060,1060,0,1,0,3,6,1,1,406,90,0,0,0,0,Inside,1Fam,1968,2001,CBlock,Y,Gd,Y,2010
26,256300,14230,1566,1600,0,2,0,3,7,1,3,0,56,0,0,0,0,Corner,1Fam,2007,2007,PConc,Y,Gd,Y,2009
27,134800,7200,900,900,0,1,0,3,5,0,2,222,32,0,0,0,0,Corner,1Fam,1951,2000,CBlock,Y,Gd,Y,2010
28,306000,11478,1704,1704,0,2,0,3,7,1,3,0,50,0,0,0,0,Inside,1Fam,2007,2008,PConc,Y,Gd,Y,2010
29,207500,16321,1484,1600,0,1,0,2,6,2,1,288,258,0,0,0,0,CulDSac,1Fam,1957,1997,CBlock,Y,TA,Y,2006
30,68500,6324,520,520,0,1,0,1,4,0,1,49,0,87,0,0,0,Inside,1Fam,1927,1950,BrkTil,N,Fa,Y,2008
31,40000,8500,649,649,668,1,0,3,6,0,1,0,54,172,0,0,0,Inside,1Fam,1920,1950,BrkTil,N,TA,N,2008
32,149350,8544,1228,1228,0,1,1,3,6,0,1,0,65,0,0,0,0,CulDSac,1Fam,1966,2006,CBlock,Y,Gd,Y,2008
33,179900,11049,1234,1234,0,2,0,3,7,0,2,0,30,0,0,0,0,Corner,1Fam,2007,2007,PConc,Y,Gd,Y,2008
34,165500,10552,1398,1700,0,1,1,4,6,1,2,0,38,0,0,0,0,Inside,1Fam,1959,1959,CBlock,Y,Gd,Y,2010
35,277500,7313,1561,1561,0,2,0,2,6,1,2,203,47,0,0,0,0,Inside,TwnhsE,2005,2005,PConc,Y,Ex,Y,2007
36,309000,13418,1117,1132,1320,3,1,4,9,1,3,113,32,0,0,0,0,Inside,1Fam,2004,2005,PConc,Y,Gd,Y,2006
37,145000,10859,1097,1097,0,1,1,3,6,0,2,392,64,0,0,0,0,Corner,1Fam,1994,1995,PConc,Y,TA,Y,2009
38,153000,8532,1297,1297,0,1,0,3,5,1,2,0,0,0,0,0,0,Inside,1Fam,1954,1990,CBlock,Y,TA,Y,2009
39,109000,7922,1057,1057,0,1,0,3,5,0,1,0,52,0,0,0,0,Inside,1Fam,1953,2007,CBlock,Y,Gd,Y,2010
40,82000,6040,0,1152,0,2,0,2,6,0,0,0,0,0,0,0,0,Inside,Duplex,1955,1955,PConc,N,Fa,N,2008
41,160000,8658,1088,1324,0,2,0,3,6,1,2,0,138,0,0,0,0,Inside,1Fam,1965,1965,CBlock,Y,TA,Y,2006
42,170000,16905,1350,1328,0,1,1,2,5,2,1,0,104,0,0,0,0,Inside,1Fam,1959,1959,CBlock,Y,TA,P,2007
43,144000,9180,840,884,0,1,0,2,5,0,2,240,0,0,0,0,0,CulDSac,1Fam,1983,1983,CBlock,Y,Gd,Y,2007
44,130250,9200,938,938,0,1,0,3,5,0,1,145,0,0,0,0,0,CulDSac,1Fam,1975,1980,CBlock,Y,TA,Y,2008
45,141000,7945,1150,1150,0,1,0,3,6,0,1,0,0,0,0,0,0,Inside,1Fam,1959,1959,CBlock,Y,TA,Y,2006
46,319900,7658,1752,1752,0,2,0,2,6,1,2,196,82,0,0,0,0,Inside,TwnhsE,2005,2005,PConc,Y,Ex,Y,2010
47,239686,12822,1434,1518,631,1,1,1,6,1,2,168,43,0,0,198,0,CulDSac,1Fam,2003,2003,PConc,Y,Gd,Y,2009
48,249700,11096,1656,1656,0,2,0,3,7,0,3,0,146,0,0,0,0,Inside,1Fam,2006,2006,PConc,Y,Gd,Y,2007
49,113000,4456,736,736,716,2,0,2,8,0,0,0,0,102,0,0,0,Inside,2fmCon,1920,2008,BrkTil,Y,TA,N,2009
50,127000,7742,955,955,0,1,0,3,6,0,1,0,0,0,0,0,0,Inside,1Fam,1966,1966,CBlock,Y,TA,Y,2007
51,177000,13869,794,794,676,2,0,3,6,0,2,0,75,0,0,0,0,Corner,1Fam,1997,1997,PConc,Y,TA,Y,2007
52,114500,6240,816,816,0,1,0,3,6,1,2,112,0,0,0,0,0,Inside,1Fam,1934,1950,PConc,Y,TA,Y,2006
53,110000,8472,816,816,0,1,0,2,5,0,2,106,0,0,0,0,0,Corner,Duplex,1963,1963,CBlock,N,TA,Y,2010
54,385000,50271,1842,1842,0,0,1,0,5,1,3,857,72,0,0,0,0,Inside,1Fam,1981,1987,CBlock,Y,Gd,Y,2006
55,130000,7134,384,1360,0,1,0,3,6,1,2,0,50,0,0,0,0,Inside,1Fam,1955,1955,CBlock,Y,TA,Y,2007
56,180500,10175,1425,1425,0,2,0,3,7,1,2,0,0,0,407,0,0,Inside,1Fam,1964,1964,CBlock,Y,TA,Y,2008
57,172500,2645,970,983,756,2,1,3,7,0,2,115,0,0,0,0,0,Inside,Twnhs,1999,2000,PConc,Y,Gd,Y,2009
58,196500,11645,860,860,860,2,1,3,7,0,2,0,70,0,0,0,0,Corner,1Fam,2004,2004,PConc,Y,Gd,Y,2006
59,438780,13682,1410,1426,1519,3,1,3,10,1,3,192,0,37,0,0,0,CulDSac,1Fam,2006,2006,PConc,Y,Gd,Y,2006
60,124900,7200,780,780,0,1,0,2,4,0,1,196,0,0,0,0,0,Inside,1Fam,1972,1972,CBlock,Y,TA,Y,2008
61,158000,13072,1158,1158,0,1,1,3,5,0,2,0,50,0,0,0,0,Inside,1Fam,2004,2004,PConc,Y,Gd,Y,2006
62,101000,7200,530,581,530,1,0,3,6,0,1,0,0,144,0,0,0,Inside,1Fam,1920,1996,BrkTil,N,Fa,N,2007
63,202500,6442,1370,1370,0,2,0,2,6,1,2,120,49,0,0,0,0,Inside,TwnhsE,2006,2006,PConc,Y,Gd,Y,2007
64,140000,10300,576,902,808,2,0,3,9,0,2,12,11,64,0,0,0,Inside,1Fam,1921,1950,BrkTil,Y,TA,Y,2010
65,219500,9375,1057,1057,977,2,1,3,8,0,2,576,36,0,0,0,0,Inside,1Fam,1997,1998,PConc,Y,Gd,Y,2009
66,317000,9591,1143,1143,1330,2,1,4,9,1,3,192,151,0,0,0,0,Inside,1Fam,2004,2005,PConc,Y,Gd,Y,2007
67,180000,19900,1947,2207,0,2,0,3,7,1,2,301,0,0,0,0,0,Inside,1Fam,1970,1989,CBlock,Y,TA,Y,2010
68,226000,10665,1453,1479,0,2,0,3,7,0,2,144,29,0,0,0,0,Inside,1Fam,2003,2003,PConc,Y,Gd,Y,2007
69,80000,4608,747,747,0,1,0,2,4,0,1,0,0,0,0,0,0,Corner,1Fam,1945,1950,CBlock,Y,TA,Y,2010
70,225000,15593,1304,1304,983,2,0,3,7,1,2,0,21,114,0,0,0,Corner,1Fam,1953,1953,CBlock,Y,TA,Y,2006
71,244000,13651,2223,2223,0,2,0,3,8,2,2,300,0,0,0,0,0,Inside,1Fam,1973,1973,CBlock,Y,TA,Y,2007
72,129500,7599,845,845,0,1,0,2,4,0,2,0,0,0,0,0,0,Corner,1Fam,1982,2006,CBlock,Y,TA,Y,2007
73,185000,10141,832,885,833,2,1,3,7,1,2,0,94,0,0,291,0,Corner,1Fam,1998,1998,PConc,Y,TA,Y,2009
74,144900,10200,1086,1086,0,1,0,3,6,0,2,0,0,0,0,0,0,Inside,1Fam,1954,2003,CBlock,Y,TA,Y,2010
75,107400,5790,840,840,765,2,0,3,8,0,1,0,0,202,0,0,0,Corner,1Fam,1915,1950,CBlock,N,TA,Y,2010
76,91000,1596,462,526,462,1,0,2,5,0,1,120,101,0,0,0,0,Inside,Twnhs,1973,1973,CBlock,Y,TA,Y,2009
77,135750,8475,952,952,0,1,0,2,4,0,1,0,0,0,0,0,0,Inside,1Fam,1956,1956,CBlock,Y,TA,Y,2008
78,127000,8635,672,1072,213,1,0,2,6,0,1,0,0,0,0,0,0,Inside,1Fam,1948,2001,CBlock,Y,TA,Y,2008
79,136500,10778,1768,1768,0,2,0,4,8,0,0,0,0,0,0,0,0,Inside,Duplex,1968,1968,CBlock,N,TA,Y,2010
80,110000,10440,440,682,548,1,1,2,5,0,2,74,0,128,0,0,0,Corner,1Fam,1910,1981,PConc,Y,TA,Y,2009
81,193500,13000,896,1182,960,2,1,4,8,1,1,0,72,0,0,252,0,Corner,1Fam,1968,1968,CBlock,Y,Gd,Y,2009
82,153500,4500,1237,1337,0,2,0,2,5,0,2,0,199,0,0,0,0,FR2,TwnhsE,1998,1998,PConc,Y,TA,Y,2006
83,245000,10206,1563,1563,0,2,0,3,6,1,3,144,99,0,0,0,0,Inside,1Fam,2007,2007,PConc,Y,Gd,Y,2008
84,126500,8892,1065,1065,0,1,1,3,6,0,2,74,0,0,0,0,0,Inside,1Fam,1960,1960,CBlock,Y,TA,Y,2007
85,168500,8530,384,804,670,2,1,3,7,1,2,120,72,0,0,0,0,Inside,1Fam,1995,1996,PConc,Y,TA,Y,2009
86,260000,16059,1288,1301,1116,2,1,4,9,1,2,127,82,0,0,0,0,Corner,1Fam,1991,1992,CBlock,Y,Gd,Y,2006
87,174000,11911,684,684,876,2,1,3,6,1,2,100,38,0,0,0,0,Inside,1Fam,2005,2005,PConc,Y,Gd,Y,2009
88,164500,3951,612,612,612,2,1,2,4,0,2,0,234,0,0,0,0,Corner,TwnhsE,2009,2009,PConc,Y,Gd,Y,2009
89,85000,8470,1013,1013,0,1,0,2,6,0,0,0,0,156,0,0,0,Corner,1Fam,1915,1982,CBlock,N,Fa,N,2009
90,123600,8070,990,990,0,1,0,3,5,0,0,0,0,0,0,0,0,Inside,1Fam,1994,1995,PConc,Y,TA,Y,2007
91,109900,7200,0,1040,0,1,0,2,4,0,2,0,29,0,0,0,0,Inside,1Fam,1950,1950,Slab,Y,TA,Y,2006
92,98600,8500,1235,1235,0,1,0,2,6,0,2,0,0,0,0,0,0,Inside,1Fam,1961,1961,CBlock,Y,TA,Y,2006
93,163500,13360,876,964,0,1,0,2,5,0,2,0,0,44,0,0,0,Inside,1Fam,1921,2006,BrkTil,Y,TA,Y,2009
94,133900,7200,1214,1260,1031,2,0,4,9,1,2,0,0,0,0,99,0,Corner,2fmCon,1910,1998,BrkTil,N,TA,Y,2007
95,204750,9337,824,905,881,2,1,3,7,0,2,0,162,0,0,0,0,Inside,1Fam,1997,1997,PConc,Y,Gd,Y,2007
96,185000,9765,680,680,790,2,1,3,6,1,2,232,63,0,0,0,0,Corner,1Fam,1993,1993,PConc,Y,TA,Y,2009
97,214000,10264,1588,1588,0,2,0,3,6,0,2,158,29,0,0,0,0,Inside,1Fam,1999,1999,PConc,Y,Gd,Y,2006
98,94750,10921,960,960,0,1,0,3,6,0,1,120,0,0,0,0,0,Inside,1Fam,1965,1965,CBlock,Y,TA,P,2007
99,83000,10625,458,835,0,1,0,2,5,0,1,0,0,77,0,0,0,Corner,1Fam,1920,1950,BrkTil,N,TA,Y,2010
100,128950,9320,950,1225,0,1,1,3,6,0,0,352,0,0,0,0,0,Inside,1Fam,1959,1959,CBlock,Y,TA,Y,2010
101,205000,10603,1610,1610,0,2,0,3,6,2,2,168,68,0,0,0,0,Inside,1Fam,1977,2001,PConc,Y,Gd,Y,2010
102,178000,9206,741,977,755,2,1,3,7,1,2,192,46,0,0,0,0,Inside,1Fam,1985,1985,CBlock,Y,Gd,Y,2010
103,118964,7018,0,1535,0,2,0,4,8,0,2,0,0,0,0,0,0,Inside,Duplex,1979,1979,Slab,Y,TA,Y,2009
104,198900,10402,1226,1226,0,2,0,3,6,0,3,0,36,0,0,0,0,Corner,1Fam,2009,2009,PConc,Y,Gd,Y,2010
105,169500,7758,1040,1226,592,1,1,4,7,2,1,0,0,0,0,184,0,Corner,1Fam,1931,1950,PConc,Y,TA,Y,2007
106,250000,9375,1053,1053,939,2,1,3,9,1,2,140,45,0,0,0,0,Inside,1Fam,2003,2004,PConc,Y,Gd,Y,2008
107,100000,10800,641,1047,0,1,0,2,6,0,1,0,0,0,0,0,0,Inside,1Fam,1885,1995,BrkTil,Y,TA,N,2007
108,115000,6000,789,789,0,1,0,2,5,0,1,0,0,0,0,0,0,Inside,1Fam,1948,1950,CBlock,Y,TA,Y,2008
109,115000,8500,793,997,520,2,0,3,7,0,0,0,0,144,0,0,0,Corner,1Fam,1919,2005,CBlock,N,Fa,N,2007
110,190000,11751,1844,1844,0,2,0,3,7,1,2,0,122,0,0,0,0,Inside,1Fam,1977,1977,CBlock,Y,TA,Y,2010
111,136900,9525,994,1216,639,2,0,4,7,0,1,182,0,0,0,0,0,Inside,1Fam,1954,1972,CBlock,Y,TA,Y,2006
112,180000,7750,384,774,656,2,1,3,7,1,2,180,0,0,0,0,0,Inside,1Fam,2000,2000,PConc,Y,TA,Y,2010
113,383970,9965,1264,1282,1414,2,1,4,10,1,3,120,184,0,0,168,0,Inside,1Fam,2007,2007,PConc,Y,Ex,Y,2007
114,217000,21000,1809,2259,0,2,0,3,7,2,2,166,120,192,0,0,0,Corner,1Fam,1953,1953,CBlock,Y,Gd,Y,2007
115,259500,7259,1028,1436,884,2,1,3,9,1,1,224,0,0,0,0,0,Inside,1Fam,1945,2002,CBlock,Y,Gd,Y,2007
116,176000,3230,729,729,729,2,1,2,5,1,2,0,32,0,0,0,0,Corner,TwnhsE,1999,1999,PConc,Y,TA,Y,2007
117,139000,11616,1092,1092,0,1,0,3,6,1,1,0,20,144,0,0,0,Inside,1Fam,1962,1962,CBlock,Y,TA,Y,2009
118,155000,8536,1125,1125,0,1,1,2,5,0,2,80,64,0,0,0,0,Corner,1Fam,2006,2007,PConc,Y,TA,Y,2007
119,320000,12376,1673,1699,1523,3,0,5,11,2,3,367,0,0,0,0,0,Corner,1Fam,1990,1990,PConc,Y,Gd,Y,2010
120,163990,8461,728,728,728,2,1,3,8,1,2,0,24,0,0,0,0,Inside,1Fam,2005,2006,PConc,Y,Gd,Y,2006
121,180000,21453,938,988,0,1,0,1,4,2,2,0,130,0,130,0,0,CulDSac,1Fam,1969,1969,CBlock,Y,TA,Y,2006
122,100000,6060,732,772,351,1,0,3,4,0,1,0,0,140,0,0,0,Inside,1Fam,1939,1950,PConc,Y,TA,P,2007
123,136000,9464,1080,1080,0,1,0,3,5,0,1,0,0,0,0,130,0,Corner,1Fam,1958,1958,CBlock,Y,TA,Y,2008
124,153900,7892,1199,1199,0,2,0,2,5,0,2,0,63,0,0,0,0,Inside,TwnhsE,1993,1993,PConc,Y,Gd,Y,2008
125,181000,17043,1362,1586,0,2,0,3,7,1,2,192,0,0,0,0,0,CulDSac,1Fam,1979,1998,CBlock,Y,TA,Y,2009
126,84500,6780,520,520,0,1,0,2,5,0,0,53,0,0,0,0,0,Inside,2fmCon,1935,1982,CBlock,N,TA,N,2006
127,128000,4928,1078,958,0,2,0,2,5,1,2,0,205,0,0,0,0,Inside,TwnhsE,1976,1976,CBlock,Y,TA,Y,2007
128,87000,4388,672,840,0,1,0,3,5,1,0,0,0,0,0,0,0,Inside,1Fam,1930,1950,BrkTil,Y,TA,N,2007
129,155000,7590,660,660,688,1,1,3,6,1,2,188,108,0,0,0,0,Inside,1Fam,1966,1966,CBlock,Y,TA,Y,2006
130,150000,8973,1008,1053,0,1,1,3,6,0,2,0,80,0,180,0,0,Inside,1Fam,1958,1991,CBlock,Y,Ex,Y,2006
131,226000,14200,924,1216,941,2,1,4,8,2,2,105,66,0,0,0,0,Corner,1Fam,1966,1966,CBlock,Y,Gd,Y,2006
132,244000,12224,992,1022,1032,2,1,3,7,1,2,24,48,0,0,0,0,Corner,1Fam,2000,2000,PConc,Y,Gd,Y,2009
133,150750,7388,1063,1327,0,1,0,3,7,0,2,0,0,0,0,0,0,Corner,1Fam,1959,2002,CBlock,Y,Gd,Y,2007
134,220000,6853,1267,1296,0,2,0,2,6,0,2,192,25,0,0,0,0,Inside,1Fam,2001,2002,PConc,Y,Gd,Y,2009
135,180000,10335,1461,1721,0,2,1,3,7,1,2,0,96,180,0,0,0,Inside,1Fam,1968,1993,CBlock,Y,TA,Y,2006
136,174000,10400,1304,1682,0,2,0,3,7,1,2,98,0,0,0,0,0,Inside,1Fam,1970,1970,PConc,Y,TA,Y,2008
137,143000,10355,1214,1214,0,2,0,3,5,1,1,0,111,0,0,0,0,Corner,1Fam,1967,1967,CBlock,Y,TA,Y,2007
138,171000,11070,1907,1959,0,3,0,5,9,0,3,0,0,0,0,0,0,Inside,Duplex,1988,1989,CBlock,Y,TA,Y,2006
139,230000,9066,1004,1004,848,2,1,3,7,2,3,224,106,0,0,0,0,Inside,1Fam,1999,2000,PConc,Y,Gd,Y,2008
140,231500,15426,928,928,836,2,1,3,7,0,2,276,99,0,0,0,0,Inside,1Fam,1997,1997,PConc,Y,Gd,Y,2009
141,115000,10500,864,864,0,1,0,3,5,1,0,0,0,0,0,0,0,FR2,1Fam,1971,1971,CBlock,Y,TA,Y,2010
142,260000,11645,1734,1734,0,2,0,3,7,0,2,160,24,0,0,0,0,Inside,1Fam,2005,2005,PConc,Y,Gd,Y,2006
143,166000,8520,910,910,475,2,0,4,6,0,2,0,0,0,0,0,0,Corner,1Fam,1952,1952,CBlock,Y,TA,Y,2010
144,204000,10335,1490,1501,0,2,0,3,6,0,2,144,29,0,0,0,0,Inside,1Fam,1999,1999,PConc,Y,Gd,Y,2009
145,125000,9100,1728,1728,0,2,0,6,10,0,2,0,0,0,0,0,0,Inside,Duplex,1963,1963,CBlock,Y,TA,Y,2006
146,130000,2522,970,970,739,2,0,3,7,0,2,0,40,0,0,0,0,Inside,Twnhs,2004,2006,PConc,Y,Gd,Y,2006
147,105000,6120,715,875,0,1,0,2,5,0,1,48,0,0,0,0,0,Corner,1Fam,1931,1993,BrkTil,Y,TA,Y,2009
148,222500,9505,884,884,1151,2,1,3,8,1,2,144,48,0,0,0,0,CulDSac,1Fam,2001,2001,PConc,Y,Gd,Y,2010
149,141000,7500,1080,1080,0,1,0,3,6,0,0,0,0,0,0,0,0,Inside,1Fam,2004,2005,PConc,Y,Gd,Y,2008
150,115000,6240,896,896,448,1,0,3,7,0,1,200,114,0,0,0,0,Inside,1Fam,1936,1950,BrkTil,Y,TA,Y,2006
151,122000,10356,969,969,0,1,1,3,5,0,2,0,0,0,0,0,0,Corner,1Fam,1975,1975,CBlock,Y,TA,Y,2007
152,372402,13891,1710,1710,0,2,0,2,6,1,3,0,102,0,0,0,0,Inside,1Fam,2007,2008,PConc,Y,Gd,Y,2008
153,190000,14803,825,1097,896,2,1,4,8,1,2,0,66,0,0,0,0,CulDSac,1Fam,1971,1971,CBlock,Y,TA,Y,2006
154,235000,13500,1602,1252,0,1,0,1,4,1,2,409,0,0,0,0,0,Inside,1Fam,1960,1975,CBlock,Y,TA,Y,2008
155,125000,11340,1200,1200,0,1,0,4,7,0,1,0,0,228,0,0,0,Corner,1Fam,1923,1950,BrkTil,Y,TA,Y,2006
156,79000,9600,572,572,524,1,0,2,5,0,0,0,8,128,0,0,0,Corner,1Fam,1924,1950,BrkTil,N,TA,N,2008
157,109500,7200,0,1040,0,1,0,2,5,0,2,0,0,0,0,0,0,Inside,1Fam,1950,1950,CBlock,Y,TA,Y,2006
158,269500,12003,774,774,1194,2,1,4,8,1,3,0,75,0,0,0,0,Corner,1Fam,2009,2010,PConc,Y,Ex,Y,2010
159,254900,12552,991,991,956,2,1,3,8,1,2,0,136,0,0,0,0,Corner,1Fam,2004,2005,PConc,Y,Gd,Y,2010
160,320000,19378,1392,1392,1070,2,1,4,9,1,2,239,132,0,168,0,0,Corner,1Fam,2005,2006,PConc,Y,Gd,Y,2006
161,162500,11120,1232,1232,0,2,0,3,6,0,2,0,0,0,0,0,0,CulDSac,1Fam,1984,1984,PConc,Y,TA,Y,2008
162,412500,13688,1572,1572,1096,2,1,3,10,2,3,400,0,0,0,0,0,Inside,1Fam,2003,2004,PConc,Y,Ex,Y,2008
163,220000,12182,1541,1541,0,2,0,3,7,1,2,0,70,0,0,0,0,Corner,1Fam,2005,2005,PConc,Y,Gd,Y,2010
164,103200,5500,882,882,0,1,0,1,4,0,0,0,0,0,0,0,0,Inside,1Fam,1956,1956,CBlock,Y,TA,Y,2007
165,152000,5400,1149,1149,467,2,0,3,5,0,1,0,0,183,0,0,0,Corner,1Fam,1926,2004,BrkTil,Y,Gd,Y,2007
166,127500,10106,644,808,547,2,0,4,6,0,0,140,0,0,0,0,0,Inside,2fmCon,1940,1999,BrkTil,Y,TA,Y,2008
167,190000,10708,1617,1867,0,1,0,2,7,3,1,476,0,0,0,142,0,Inside,1Fam,1955,1993,CBlock,Y,TA,Y,2009
168,325624,10562,1582,1610,551,1,1,3,8,1,3,178,120,0,0,0,0,Inside,1Fam,2007,2007,PConc,Y,Ex,Y,2007
169,183500,8244,840,840,880,2,1,3,7,1,2,100,48,0,0,0,0,Inside,1Fam,2004,2004,PConc,Y,Gd,Y,2007
170,228000,16669,1686,1707,0,2,1,2,6,1,2,574,64,0,0,0,0,Corner,1Fam,1981,1981,CBlock,Y,TA,Y,2006
171,128500,12358,720,854,0,1,1,2,7,0,2,237,0,0,0,0,0,Inside,1Fam,1941,1950,CBlock,Y,TA,Y,2007
172,215000,31770,1080,1656,0,1,0,3,7,2,2,210,62,0,0,0,0,Corner,1Fam,1960,1960,CBlock,Y,TA,P,2010
173,239000,5306,1064,1064,703,2,0,2,5,1,2,441,35,0,0,0,0,Inside,TwnhsE,1987,1987,PConc,Y,Gd,Y,2006
174,163000,10197,1362,1362,0,1,1,3,6,1,2,0,20,0,0,0,0,Inside,1Fam,1961,1961,CBlock,Y,TA,Y,2008
175,184000,12416,1606,1651,0,2,0,3,7,1,2,192,0,0,0,0,0,Inside,1Fam,1986,1986,CBlock,Y,TA,Y,2008
176,243000,12615,1202,2158,0,2,0,4,7,1,2,0,29,39,0,0,0,Corner,1Fam,1950,2001,CBlock,Y,Gd,Y,2007
177,211000,10029,1151,1164,896,2,1,4,8,1,2,0,228,0,0,192,0,Corner,1Fam,1988,1989,PConc,Y,TA,Y,2007
178,172500,13650,1052,1252,668,2,0,4,8,1,2,0,0,0,0,0,0,Inside,1Fam,1958,1958,CBlock,Y,Gd,Y,2006
179,501837,17423,2216,2234,0,2,0,1,9,1,3,0,60,0,0,0,0,CulDSac,1Fam,2008,2009,PConc,Y,Ex,Y,2009
180,100000,8520,968,968,0,1,0,2,5,0,2,0,0,184,0,0,0,Inside,1Fam,1923,2006,CBlock,Y,TA,N,2007
181,177000,2117,756,769,756,2,1,3,5,1,2,0,0,0,0,0,0,Inside,Twnhs,2000,2000,PConc,Y,Gd,Y,2007
182,200100,7588,793,901,901,1,1,4,9,1,1,0,0,40,0,0,0,Inside,1Fam,1920,1950,BrkTil,Y,TA,Y,2006
183,120000,9060,0,1340,0,1,0,3,7,1,1,116,0,0,180,0,0,Inside,1Fam,1957,2006,PConc,Y,TA,Y,2007
184,200000,11426,1362,1362,720,2,1,3,6,0,2,280,238,0,0,0,0,Inside,1Fam,2003,2003,PConc,Y,Gd,N,2008
185,127000,7438,504,936,316,1,0,3,5,0,2,104,0,0,0,0,0,Inside,1Fam,1908,1991,PConc,Y,TA,Y,2006
186,475000,22950,1107,1518,1518,2,1,4,12,2,3,0,260,0,0,410,0,Inside,1Fam,1892,1993,BrkTil,Y,Ex,Y,2006
187,173000,9947,1188,1217,0,2,0,3,6,0,2,168,27,0,0,0,0,CulDSac,1Fam,1990,1991,PConc,Y,Gd,Y,2009
188,135000,10410,660,808,704,2,1,3,8,0,1,0,0,0,140,0,0,Inside,1Fam,1916,1987,CBlock,Y,TA,N,2009
189,153337,7018,1086,1224,0,0,2,2,6,2,2,120,0,0,0,0,0,Inside,Duplex,1979,1979,CBlock,Y,TA,Y,2009
190,286000,4923,1593,1593,0,1,1,0,5,1,2,0,120,0,0,224,0,Inside,TwnhsE,2001,2002,PConc,Y,Ex,Y,2008
