Wealth,Age,Gender,Region,TVRegion,LoyaltyStatus,SpendYTD,MemberLength,TargetBuy,TargetAmt
8,60,M,North,Yorkshire,Silver,60,11,1,1
15,42,F,South East,London,Tin,0.01,5,1,1
10,57,F,Midlands,Midlands,Silver,50,11,0,0
6,45,M,Midlands,Midlands,Tin,0.01,4,0,0
11,75,F,Midlands,East,Silver,3052.66,8,1,1
8,37,F,North,Yorkshire,Tin,0.01,5,1,1
13,61,U,South West,S West,Silver,3000,8,0,0
19,39,F,North,Yorkshire,Tin,0.01,8,1,3
7,55,M,Midlands,Ulster,Silver,2000,1,0,0
8,57,M,Scottish,C Scotland,Gold,9000,9,0,0
13,18,F,South East,S & S East,Gold,6000,1,0,0
5,56,U,North,N West,Silver,3000,8,0,0
9,50,F,North,N East,Gold,20000,4,0,0
11,67,U,North,N East,Platinum,22000,8,0,0
7,78,F,Midlands,Midlands,Silver,2000,24,0,0
5,61,F,Midlands,Midlands,Tin,0.01,5,0,0
5,45,U,South East,London,Silver,600,11,0,0
11,66,F,South East,London,Silver,2000,5,0,0
2,51,U,North,Yorkshire,Gold,10000,5,0,0
10,60,U,North,N West,Silver,1020,9,0,0
9,48,M,Midlands,East,Silver,3000,2,0,0
8,53,F,South East,S & S East,Silver,100,1,0,0
10,72,U,Midlands,Midlands,Gold,12000,8,1,1
9,68,F,South East,London,Tin,0.01,7,0,0
8,47,F,Scottish,N Scot,Tin,0.01,5,0,0
11,39,F,South East,London,Silver,2800,1,1,1
12,72,F,South East,London,Tin,0.01,8,0,0
10,67,M,South East,London,Gold,6000,4,0,0
9,60,F,South East,London,Tin,0.01,8,0,0
11,52,M,North,N West,Tin,0.01,9,0,0
7,55,F,Midlands,Midlands,Tin,0.01,8,0,0
14,65,M,South East,S & S East,Gold,6053.35,6,0,0
13,41,M,South East,London,Tin,0.01,7,1,1
16,34,F,Midlands,East,Silver,3000,3,1,2
6,40,F,North,N West,Silver,1500,7,1,1
9,35,F,South East,London,Tin,0.01,4,1,1
7,50,M,North,Yorkshire,Silver,5000,10,0,0
6,62,U,North,N West,Silver,3000,29,0,0
9,60,M,Midlands,East,Gold,8100,5,0,0
8,49,F,North,N West,Gold,7600,4,0,0
6,57,M,Midlands,Midlands,Silver,2000,8,0,0
7,52,U,Midlands,Midlands,Platinum,23053.35,6,0,0
6,75,M,Scottish,C Scotland,Gold,10000,17,0,0
15,55,U,Midlands,Midlands,Gold,10000,6,0,0
8,52,F,North,N West,Silver,2500,6,1,1
12,74,F,Midlands,East,Gold,6000,5,0,0
9,79,F,South East,London,Silver,5000,5,0,0
6,48,U,North,Yorkshire,Silver,420,4,0,0
11,60,U,South East,London,Tin,0.01,8,0,0
3,38,F,North,N West,Silver,50,9,1,1
9,58,F,North,N West,Silver,5000,5,0,0
4,52,M,Midlands,Wales & West,Silver,1800,4,0,0
3,45,F,North,Yorkshire,Silver,100.01,9,0,0
9,42,F,North,N West,Silver,2000,4,0,0
10,40,U,Midlands,Midlands,Silver,50,10,0,0
5,55,U,Midlands,Midlands,Gold,10100,8,0,0
8,77,U,Midlands,Midlands,Gold,6000,3,0,0
11,27,F,South East,London,Tin,0.01,7,1,2
4,60,F,North,N West,Tin,0.01,8,0,0
7,58,U,South East,London,Silver,2500,5,0,0
7,42,M,North,N West,Tin,0.01,4,0,0
4,57,F,South East,London,Tin,0.01,5,0,0
10,72,F,Midlands,Midlands,Gold,11105.32,8,0,0
7,37,F,North,N West,Tin,0.01,5,0,0
9,76,F,Midlands,East,Silver,2000,8,1,1
6,45,F,North,N West,Tin,0.01,5,0,0
15,61,U,South East,S & S East,Silver,500,2,0,0
12,61,F,Scottish,N Scot,Silver,4000,1,0,0
9,47,M,Midlands,Ulster,Tin,0.01,5,0,0
8,52,U,Midlands,East,Tin,0.01,8,0,0
8,40,U,Midlands,Midlands,Silver,1000,1,0,0
5,56,F,Midlands,Midlands,Tin,0.01,9,0,0
8,51,F,North,N West,Gold,9000.01,8,0,0
9,50,F,South East,London,Gold,12000,2,0,0
4,46,U,North,N West,Tin,0.01,5,0,0
8,41,F,South East,S & S East,Silver,1675,7,1,1
8,60,M,South East,London,Silver,100.01,8,0,0
10,70,F,South East,S & S East,Silver,2250,8,0,0
9,50,F,South East,London,Tin,0.01,9,1,1
15,37,F,Midlands,Midlands,Tin,0.01,8,1,1
9,74,F,South East,London,Silver,3000,5,0,0
8,61,U,South West,S West,Silver,1200,6,1,1
8,49,U,North,N West,Silver,4000,3,0,0
9,53,M,Scottish,C Scotland,Gold,6000,4,0,0
7,63,U,North,N West,Tin,0.01,5,0,0
7,51,F,North,N West,Silver,3026.67,10,0,0
5,62,F,North,N West,Platinum,56053.35,7,0,0
3,46,F,South East,S & S East,Silver,0.1,10,0,0
10,39,M,North,Yorkshire,Gold,7500,2,1,1
6,53,M,South East,S & S East,Silver,3000,6,1,1
7,48,F,South East,London,Silver,5000,4,0,0
7,62,F,South East,S & S East,Gold,12808.95,11,0,0
9,26,M,South East,London,Silver,4000,1,0,0
6,43,F,South West,S West,Gold,6000,2,0,0
7,78,F,Midlands,Midlands,Gold,6000,5,0,0
3,67,F,Midlands,East,Gold,12049.25,3,0,0
2,45,F,North,N West,Tin,0.01,5,0,0
10,60,U,Scottish,C Scotland,Tin,0.01,5,0,0
13,68,F,South East,London,Gold,7500,6,0,0
14,74,U,South East,S & S East,Platinum,20245.89,3,0,0
5,53,M,Midlands,Midlands,Tin,0.01,8,0,0
5,51,M,Scottish,C Scotland,Silver,420,8,0,0
6,51,F,South East,S & S East,Silver,200,1,0,0
5,51,U,South East,S & S East,Silver,200,2,0,0
11,36,M,South East,London,Tin,0.01,4,0,0
8,63,F,Midlands,Wales & West,Gold,6000,2,0,0
8,69,F,South East,S & S East,Silver,500,9,0,0
11,40,F,Midlands,Midlands,Tin,0.01,5,1,1
4,46,F,Midlands,Wales & West,Silver,2165.75,11,0,0
8,46,F,South East,S & S East,Silver,2245,11,1,1
9,38,F,North,N West,Tin,0.01,5,1,1
4,67,M,North,N West,Gold,11000,5,0,0
11,73,U,North,Yorkshire,Platinum,26000,4,0,0
5,53,F,Scottish,Border,Gold,9000,8,0,0
6,55,F,Midlands,Midlands,Silver,5000,4,1,1
9,54,F,South East,London,Silver,3000,8,0,0
6,45,M,South East,London,Tin,0.01,5,0,0
5,58,F,North,N West,Silver,420,4,0,0
8,33,F,North,N East,Tin,0.01,5,1,1
11,35,M,South East,London,Tin,0.01,8,1,1
4,71,M,North,Yorkshire,Gold,6000,12,0,0
10,55,M,Scottish,Border,Tin,0.01,4,0,0
13,53,M,South East,London,Gold,6871.12,5,0,0
9,58,F,South East,London,Silver,1500,19,0,0
13,43,M,North,Yorkshire,Tin,0.01,5,0,0
8,47,F,South East,London,Tin,0.01,5,0,0
4,74,M,South East,S & S East,Gold,6000,2,0,0
10,49,M,North,N East,Silver,5000,1,0,0
9,58,F,South East,S & S East,Silver,3000,9,0,0
8,56,F,Midlands,Midlands,Tin,0.01,8,0,0
5,47,F,South East,S & S East,Gold,6000,1,0,0
14,30,F,Midlands,Midlands,Silver,100,1,1,1
3,68,F,South East,S & S East,Platinum,50000,4,1,1
8,45,F,North,N West,Silver,1000,4,0,0
7,71,F,South East,London,Gold,12000,6,0,0
10,65,F,South East,S & S East,Gold,9053.35,8,0,0
10,74,F,South East,London,Gold,19000,5,0,0
10,43,F,North,N West,Tin,0.01,5,1,1
11,44,F,South West,S West,Silver,500,9,0,0
9,65,U,South East,London,Silver,3000,5,0,0
7,46,M,South East,S & S East,Gold,17409.76,12,0,0
8,29,F,Midlands,Midlands,Silver,2000,12,0,0
7,53,F,Midlands,Wales & West,Tin,0.01,5,1,1
9,64,M,Midlands,Midlands,Silver,1000,12,0,0
10,49,M,South East,S & S East,Silver,3000,5,1,1
17,59,F,South East,London,Gold,12000,8,1,2
8,37,F,North,N West,Tin,0.01,5,0,0
5,60,U,South East,London,Gold,10000,2,0,0
10,64,U,North,Yorkshire,Tin,0.01,4,0,0
15,51,F,South East,London,Silver,3000,8,1,1
8,47,F,Midlands,Midlands,Tin,0.01,5,0,0
18,51,F,Midlands,Wales & West,Silver,3000,3,0,0
5,58,F,Scottish,C Scotland,Silver,3050,11,0,0
9,46,M,South East,London,Tin,0.01,9,0,0
5,48,U,South East,London,Tin,0.01,5,0,0
4,61,F,Midlands,Midlands,Gold,6000,1,0,0
9,38,F,Midlands,Midlands,Tin,0.01,5,1,1
7,68,M,South East,S & S East,Gold,15000.01,6,0,0
12,76,F,Midlands,Wales & West,Gold,6000,2,0,0
4,56,F,North,Yorkshire,Tin,0.01,8,0,0
8,73,M,North,N East,Silver,360,1,1,1
8,37,F,Midlands,Midlands,Tin,0.01,9,1,1
11,74,F,South East,London,Silver,3350,4,0,0
5,60,F,Midlands,Midlands,Silver,5000,2,0,0
10,35,F,Scottish,C Scotland,Silver,1500,4,0,0
6,46,F,Scottish,N Scot,Gold,6544.99,1,0,0
3,46,F,South East,London,Gold,6000,5,0,0
5,70,F,South East,London,Platinum,21684.94,0,0,0
9,37,M,Midlands,Ulster,Gold,10000,11,1,1
4,46,U,South East,S & S East,Gold,6000,3,0,0
3,68,U,Scottish,C Scotland,Silver,4000,18,0,0
12,49,F,South East,London,Silver,3000,3,0,0
4,63,F,Midlands,Midlands,Silver,3026.67,7,0,0
4,62,U,Midlands,Midlands,Silver,5000,5,0,0
5,62,U,Midlands,East,Silver,0.02,8,0,0
5,74,U,North,N East,Gold,6000,1,0,0
5,52,F,South East,S & S East,Tin,0.01,5,0,0
8,74,U,Midlands,Midlands,Gold,6000,17,1,1
7,43,F,South East,S & S East,Tin,0.01,5,0,0
8,64,F,South East,London,Gold,12000,2,0,0
12,31,F,North,N West,Silver,1100,9,0,0
11,41,F,North,N East,Silver,1000,5,0,0
9,45,F,Midlands,Wales & West,Tin,0.01,8,0,0
8,67,U,South East,London,Gold,10000.01,2,0,0
9,40,F,South East,London,Tin,0.01,5,0,0
7,70,F,South East,S & S East,Gold,12000,2,0,0
6,56,U,Midlands,Midlands,Tin,0.01,5,0,0
15,32,U,North,Yorkshire,Tin,0.01,5,1,3
10,51,M,Midlands,Ulster,Silver,1000,6,0,0
8,65,U,South East,London,Silver,50,7,0,0
8,52,F,Midlands,Wales & West,Gold,6000,2,0,0
6,38,F,South East,S & S East,Tin,0.01,9,1,1
8,43,F,South East,London,Silver,50,10,0,0
7,37,M,North,N West,Tin,0.01,5,0,0
7,42,M,Scottish,N Scot,Tin,0.01,5,0,0
4,22,U,Midlands,Midlands,Gold,6000,3,0,0
8,31,U,Midlands,East,Tin,0.01,8,0,0
15,33,F,North,N West,Silver,0.02,7,1,2
8,31,U,Midlands,Midlands,Silver,5000,1,0,0
8,54,M,Scottish,C Scotland,Gold,12000,8,0,0
5,54,F,South East,S & S East,Silver,1000,2,0,0
9,53,M,North,Yorkshire,Gold,6000,3,0,0
16,37,F,North,Yorkshire,Tin,0.01,5,1,2
8,63,U,South West,S West,Gold,6000,2,0,0
3,33,M,North,N West,Tin,0.01,5,0,0
7,65,F,South East,London,Tin,0.01,8,0,0
14,39,F,Midlands,Midlands,Silver,50,10,1,1
9,42,F,Scottish,C Scotland,Gold,6000,2,1,1
6,67,M,North,Yorkshire,Silver,3000,8,0,0
11,43,F,Midlands,Midlands,Tin,0.01,5,1,1
8,50,F,South East,S & S East,Silver,0.02,9,0,0
5,70,U,Midlands,Midlands,Gold,12000,5,0,0
13,58,F,Midlands,Midlands,Tin,0.01,8,0,0
7,78,F,Midlands,Ulster,Silver,1250,5,0,0
5,79,M,Midlands,East,Gold,6000,8,0,0
8,68,F,South East,London,Silver,800,8,1,1
9,48,F,South East,London,Silver,600,8,0,0
12,35,M,South West,S West,Silver,1500,5,0,0
9,38,F,Midlands,East,Tin,0.01,4,1,1
11,42,M,North,N West,Gold,6041.13,5,0,0
14,50,M,North,N West,Silver,420.01,4,0,0
4,63,M,North,N West,Tin,0.01,5,1,1
9,75,F,South East,London,Gold,6000,1,0,0
8,50,F,South East,London,Silver,50,8,0,0
2,58,F,South East,London,Tin,0.01,8,0,0
8,66,F,Midlands,Ulster,Silver,500,8,0,0
6,54,F,South East,London,Silver,50,11,0,0
7,54,F,North,N West,Tin,0.01,5,0,0
18,38,F,South East,London,Tin,0.01,6,1,1
8,55,M,South East,London,Silver,1000,5,0,0
8,52,M,Scottish,C Scotland,Tin,0.01,4,0,0
11,59,F,Midlands,Midlands,Silver,1500,2,0,0
6,63,M,South West,S West,Silver,1000,2,1,1
15,47,M,North,N West,Tin,0.01,6,0,0
6,44,F,South East,London,Tin,0.01,8,0,0
7,39,F,South East,London,Tin,0.01,7,0,0
5,72,U,Midlands,Midlands,Gold,6000,2,0,0
8,38,M,Midlands,Wales & West,Tin,0.01,5,0,0
13,72,F,South East,S & S East,Tin,0.01,8,0,0
6,76,U,Scottish,Border,Silver,3000,8,0,0
11,50,U,North,N East,Silver,3000,8,0,0
7,66,F,Midlands,Wales & West,Gold,9000,8,0,0
6,51,U,South East,London,Tin,0.01,5,0,0
3,63,U,Midlands,Midlands,Tin,0.01,8,0,0
6,78,F,South East,London,Gold,7500,5,0,0
9,55,M,Midlands,East,Gold,5672.31,2,0,0
7,49,M,Midlands,Midlands,Gold,10000,3,0,0
13,70,U,South East,London,Silver,2884.96,8,0,0
6,45,F,Midlands,Midlands,Tin,0.01,4,0,0
5,73,F,Scottish,C Scotland,Silver,600,32,0,0
8,71,F,South East,London,Platinum,23425,4,1,1
14,52,F,South East,London,Gold,7017.55,5,0,0
9,57,F,Midlands,Midlands,Gold,9052.66,7,0,0
10,63,M,North,N West,Gold,6053.34,4,0,0
20,39,M,North,N West,Tin,0.01,8,1,2
7,35,F,Midlands,Midlands,Tin,0.01,4,1,1
8,58,F,Midlands,Wales & West,Silver,1930,9,0,0
10,40,F,Midlands,Midlands,Tin,0.01,4,1,1
9,61,F,South East,London,Gold,12150,11,0,0
13,70,F,North,N West,Silver,500,11,0,0
5,70,F,North,N West,Silver,3500,5,0,0
6,60,F,Midlands,Wales & West,Gold,10000,4,0,0
14,77,F,South East,S & S East,Silver,4884.25,11,0,0
10,74,F,South East,S & S East,Silver,4500,12,0,0
7,67,F,Midlands,Wales & West,Silver,3000,5,0,0
7,51,M,Midlands,Midlands,Gold,17000,11,1,1
18,37,F,Midlands,Midlands,Silver,50.01,8,1,3
8,35,U,North,N West,Gold,5044.46,5,0,0
5,58,F,Scottish,N Scot,Gold,6000,22,0,0
6,27,F,South East,S & S East,Silver,5,7,0,0
5,72,U,South East,London,Platinum,32050,12,0,0
9,70,F,South East,London,Gold,6000,8,0,0
7,51,M,North,N West,Tin,0.01,10,0,0
10,58,F,Midlands,Wales & West,Silver,3000.01,8,0,0
10,73,F,Midlands,Wales & West,Tin,0.01,6,0,0
7,38,F,South East,London,Silver,4500,4,0,0
7,71,F,South East,London,Silver,2000,3,1,1
22,50,M,South East,London,Silver,3000,6,1,2
6,51,F,Midlands,Midlands,Silver,3500,27,0,0
10,33,F,Midlands,Wales & West,Tin,0.01,8,0,0
6,67,U,Midlands,Midlands,Silver,5000,4,0,0
8,64,F,South East,London,Gold,20000,4,1,1
9,50,F,South East,London,Silver,5000,4,0,0
8,76,U,North,N West,Gold,6000,15,0,0
5,41,F,South East,London,Gold,6000,3,0,0
12,50,M,Scottish,C Scotland,Tin,0.01,7,1,1
13,54,F,South West,S West,Gold,12078.35,30,0,0
13,45,F,South East,S & S East,Silver,3000,8,0,0
7,41,U,North,N West,Tin,0.01,9,0,0
10,59,M,South East,S & S East,Silver,780,2,0,0
9,68,U,Midlands,Midlands,Silver,4000,5,1,1
9,66,M,Scottish,C Scotland,Silver,2000,9,0,0
5,52,M,North,Yorkshire,Tin,0.01,11,0,0
8,73,M,Midlands,Ulster,Gold,6000,6,0,0
6,45,U,North,N West,Silver,300,9,0,0
9,48,F,South East,S & S East,Tin,0.01,5,1,1
6,60,F,South East,S & S East,Tin,0.01,5,0,0
11,56,F,Midlands,East,Gold,6105.32,7,0,0
26,31,F,Midlands,Midlands,Tin,0.01,4,1,2
9,55,M,South East,London,Tin,0.01,11,0,0
8,61,M,Midlands,Midlands,Silver,3250,6,0,0
9,68,M,South East,London,Silver,4250,4,0,0
14,47,F,South East,London,Tin,0.01,8,0,0
3,70,F,Midlands,Wales & West,Silver,3000,11,0,0
10,40,M,South East,London,Silver,1000,13,0,0
10,57,M,Midlands,Midlands,Tin,0.01,4,0,0
11,54,F,Scottish,C Scotland,Silver,360,9,0,0
9,44,F,South East,London,Gold,6053.35,5,0,0
6,57,M,North,Yorkshire,Silver,0.02,8,0,0
9,60,U,Scottish,N Scot,Gold,8000,14,0,0
13,45,F,Scottish,N Scot,Tin,0.01,4,1,2
9,40,F,South East,London,Tin,0.01,6,1,1
9,22,F,North,N West,Silver,1000,3,1,1
10,73,M,South East,London,Silver,5000,27,0,0
10,44,U,South East,S & S East,Tin,0.01,5,0,0
5,50,M,Midlands,Wales & West,Tin,0.01,4,0,0
8,76,F,South East,S & S East,Silver,1000,3,1,1
7,52,F,South East,London,Tin,0.01,9,0,0
9,48,F,Midlands,Midlands,Gold,6000,2,0,0
9,47,M,Midlands,Midlands,Tin,0.01,4,0,0
10,61,F,North,N West,Silver,3000,3,1,1
8,55,M,South West,S West,Silver,4000,8,0,0
10,52,U,Scottish,C Scotland,Tin,0.01,5,0,0
5,76,F,North,Yorkshire,Gold,6000,3,1,1
11,47,M,Scottish,C Scotland,Silver,1200,11,0,0
9,66,U,Midlands,Wales & West,Gold,6000,2,0,0
12,60,F,Midlands,Midlands,Gold,9604.34,4,0,0
8,49,M,South East,S & S East,Tin,0.01,20,0,0
9,67,F,South East,London,Gold,10000,5,1,1
4,53,M,South East,London,Silver,1070,9,0,0
3,59,F,Midlands,East,Gold,12000,4,0,0
8,69,M,South East,London,Gold,14400,8,0,0
7,27,F,South East,London,Tin,0.01,4,1,1
10,63,M,South East,London,Silver,3000,7,0,0
18,41,F,North,N East,Tin,0.01,5,1,1
4,64,F,South East,London,Silver,420,9,0,0
8,45,M,South East,London,Gold,6000,2,0,0
10,46,F,South East,S & S East,Tin,0.01,4,0,0
2,50,U,North,N East,Tin,0.01,5,0,0
6,75,F,Midlands,Midlands,Tin,0.01,9,0,0
11,62,M,North,Yorkshire,Gold,6000,10,0,0
13,64,M,North,N West,Gold,12000,8,0,0
11,25,F,Midlands,Midlands,Silver,3000,3,1,1
5,46,F,Midlands,Wales & West,Platinum,24878.35,9,0,0
10,39,U,North,N West,Tin,0.01,5,1,1
6,56,F,South East,London,Gold,6000,1,0,0
6,56,U,North,N East,Gold,6000,2,0,0
6,62,M,Scottish,N Scot,Gold,18800,4,0,0
5,77,M,South East,S & S East,Gold,9600,16,0,0
6,48,F,Midlands,Midlands,Tin,0.01,5,0,0
4,29,F,North,N West,Silver,100,7,1,1
9,63,M,Midlands,Wales & West,Tin,0.01,5,0,0
5,46,U,Midlands,Wales & West,Silver,480,5,0,0
9,58,U,Midlands,Midlands,Tin,0.01,5,1,1
12,68,F,North,N West,Silver,2000,31,0,0
7,36,F,South East,London,Silver,3000.01,8,1,1
17,43,F,Midlands,Wales & West,Silver,3026.67,6,1,2
6,57,M,South East,London,Tin,0.01,4,0,0
8,47,U,South East,London,Tin,0.01,8,0,0
6,45,F,South East,S & S East,Tin,0.01,10,0,0
10,64,U,Midlands,Midlands,Silver,5000,8,0,0
12,37,F,North,Yorkshire,Tin,0.01,5,1,1
5,57,U,North,Yorkshire,Silver,4884.25,11,0,0
6,41,U,North,Yorkshire,Tin,0.01,5,0,0
10,44,M,Midlands,Wales & West,Silver,500,9,0,0
9,51,F,South East,London,Gold,7053.34,10,0,0
7,62,F,South West,S West,Gold,6000,2,0,0
18,54,F,Midlands,Midlands,Silver,970.92,9,1,2
7,57,M,South East,London,Silver,1500,5,0,0
7,63,M,Midlands,East,Gold,7500,5,0,0
3,51,M,North,N West,Tin,0.01,5,0,0
11,74,M,Midlands,Midlands,Gold,10000.01,8,0,0
8,56,M,South West,S West,Silver,4000,5,1,1
4,33,F,Midlands,Midlands,Tin,0.01,6,0,0
8,50,F,Midlands,Midlands,Silver,4800,5,0,0
11,67,U,North,N West,Silver,2400,9,0,0
7,72,M,North,N West,Gold,6000,5,0,0
5,67,U,North,N West,Gold,6000,2,0,0
8,28,M,Scottish,C Scotland,Silver,68.22,2,0,0
9,65,F,North,N West,Gold,6053.35,6,0,0
10,39,F,North,N East,Silver,600,1,1,1
11,59,F,South West,S West,Gold,10213.66,5,0,0
13,61,U,North,N West,Silver,3000,8,0,0
11,43,F,Midlands,Wales & West,Tin,0.01,9,1,1
10,50,M,North,Yorkshire,Tin,0.01,5,0,0
8,67,U,South East,S & S East,Gold,5027,6,0,0
9,55,M,South East,London,Tin,0.01,4,0,0
12,48,F,South East,London,Gold,6053.35,13,1,2
8,32,M,South East,London,Tin,0.01,7,1,1
13,38,F,North,Yorkshire,Tin,0.01,8,1,1
9,39,F,Midlands,Midlands,Silver,2700,4,1,1
11,44,M,Scottish,N Scot,Gold,6000,3,1,1
5,71,U,South East,S & S East,Silver,2000,9,0,0
11,57,F,Midlands,Midlands,Gold,9000,6,1,1
5,34,F,Midlands,East,Gold,6000,5,0,0
11,56,F,North,N West,Tin,0.01,6,1,2
6,69,M,Midlands,Midlands,Gold,12105.32,12,0,0
11,53,M,South East,London,Silver,600,7,0,0
10,33,F,North,N East,Tin,0.01,9,1,1
6,67,M,North,Yorkshire,Silver,1200,4,0,0
8,74,F,Scottish,Border,Silver,2000,5,0,0
4,73,F,North,N West,Gold,6500,20,0,0
16,37,F,South East,London,Tin,0.01,8,1,2
7,60,F,South West,S West,Silver,1324.2,10,1,1
9,74,F,Midlands,Midlands,Gold,11605.32,12,0,0
8,49,F,South East,London,Tin,0.01,8,0,0
5,58,F,South East,London,Platinum,21000,9,0,0
8,43,F,Midlands,Wales & West,Silver,1200,4,0,0
5,76,U,South East,London,Gold,6053.35,7,0,0
8,78,F,Midlands,Midlands,Silver,3000,2,1,1
4,76,F,Midlands,Wales & West,Gold,6000,6,0,0
15,48,F,Midlands,Midlands,Silver,500,9,1,1
7,68,M,North,Yorkshire,Tin,0.01,12,0,0
7,61,M,South East,London,Platinum,28780.41,0,0,0
10,64,M,Scottish,C Scotland,Gold,5100,11,0,0
7,56,U,Midlands,Wales & West,Silver,3000,11,0,0
8,39,U,South East,London,Silver,5000,1,0,0
10,62,F,North,Yorkshire,Gold,6053.35,5,0,0
11,35,F,Midlands,Wales & West,Silver,600,8,1,1
8,35,F,South East,S & S East,Silver,1000,6,1,1
8,55,M,South East,S & S East,Tin,0.01,8,0,0
7,47,U,North,N East,Silver,1200,9,0,0
6,63,M,South East,S & S East,Platinum,30131.68,6,0,0
7,33,F,North,Yorkshire,Tin,0.01,9,0,0
7,50,M,Midlands,Midlands,Silver,4198,1,0,0
12,57,M,Scottish,N Scot,Silver,1000,4,0,0
8,42,U,North,N West,Tin,0.01,5,0,0
11,45,F,Midlands,Midlands,Silver,720,4,0,0
6,49,F,Midlands,East,Silver,920,4,1,1
9,70,M,Scottish,Border,Silver,3000,8,0,0
6,39,F,North,N East,Tin,0.01,7,1,1
9,37,F,Midlands,East,Silver,420,1,1,1
8,62,F,Scottish,C Scotland,Silver,3750,2,0,0
9,59,F,South East,S & S East,Gold,7400,28,0,0
15,52,M,South East,London,Silver,3000,5,1,1
9,50,M,South East,S & S East,Silver,1200,9,0,0
7,35,F,South East,London,Silver,500,1,1,1
12,39,F,Midlands,Wales & West,Tin,0.01,5,1,1
19,38,F,Midlands,Wales & West,Tin,0.01,9,1,3
11,32,F,Midlands,Midlands,Tin,0.01,5,0,0
7,30,F,North,Yorkshire,Tin,0.01,4,1,1
10,59,F,North,N West,Tin,0.01,10,1,1
8,53,U,South East,London,Gold,6000,1,0,0
14,53,M,North,N West,Silver,480,5,1,2
12,53,F,Midlands,East,Tin,0.01,5,0,0
13,53,F,Midlands,Midlands,Tin,0.01,8,1,1
7,48,M,South West,S West,Tin,0.01,7,0,0
11,61,F,North,N West,Tin,0.01,5,1,1
14,76,F,Midlands,Midlands,Silver,500,9,1,1
11,44,F,North,Yorkshire,Tin,0.01,5,1,1
9,39,F,South East,London,Platinum,30649.41,1,1,1
6,35,F,South East,S & S East,Tin,0.01,5,0,0
11,63,F,North,Yorkshire,Gold,19000,12,0,0
11,62,F,Midlands,East,Gold,12000,2,0,0
9,50,F,Scottish,N Scot,Tin,0.01,8,0,0
12,34,F,North,N West,Tin,0.01,4,1,1
8,69,U,Scottish,N Scot,Tin,0.01,7,0,0
22,30,F,South East,London,Silver,1750,4,1,3
10,44,F,North,N East,Tin,0.01,8,0,0
9,79,U,South East,London,Silver,4000,2,0,0
7,40,M,Midlands,Wales & West,Tin,0.01,4,0,0
11,25,F,South East,London,Silver,2400,1,1,1
5,57,M,Midlands,Midlands,Silver,3000,4,0,0
7,23,F,North,N West,Silver,1000,5,1,1
8,57,U,South East,London,Platinum,25000,1,0,0
